original_instance_id,label,compound_label,compound_label_name,concentration_label_id,concentration_label_name,label_name,mechanism_of_action,compound,concentration_band,concentration_label,image_condition_dir,is_control,true_name,pred_name,experimental_run_id,proba_Water,proba_GABAAR_Antagonist,proba_NMDAR_Activation,proba_AChE_Inhibitor_Reversible,proba_mAChR_Agonist_NonSelective,dataset_split
256,4,12,Pilocarpine,1,high,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,high,5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD/5mM,False,mAChR_Agonist_NonSelective,Water,Pilocarpine_Round2_0.4OD,0.2928781509399414,0.19620861113071442,0.1275111734867096,0.2566950023174286,0.12670709192752838,holdout
257,4,12,Pilocarpine,1,high,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,high,5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/5mM F2.1,False,mAChR_Agonist_NonSelective,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4936264455318451,0.11901827156543732,0.03702574223279953,0.19707784056663513,0.1532517522573471,holdout
259,4,12,Pilocarpine,1,high,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,high,5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/5mM F2.3,False,mAChR_Agonist_NonSelective,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4354928731918335,0.045659370720386505,0.04260455071926117,0.1139930784702301,0.3622501790523529,holdout
263,4,12,Pilocarpine,1,high,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,high,5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/5mM F3,False,mAChR_Agonist_NonSelective,Water,Pilocarpine repeat run 1 12 Feb 2019,0.47575753927230835,0.12193601578474045,0.04062663018703461,0.19849327206611633,0.16318656504154205,holdout
267,4,12,Pilocarpine,2,mid,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,mid,2.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Pilocarpine_Round2_0.4OD/2.5mM,False,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine_Round2_0.4OD,0.11593202501535416,0.018623560667037964,0.13063767552375793,0.04671979695558548,0.688086986541748,holdout
268,4,12,Pilocarpine,2,mid,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,mid,2.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM F2.1,False,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine ReRun 2 12 Feb 2019,0.3139776587486267,0.04586481302976608,0.059953611344099045,0.09382327646017075,0.4863806664943695,holdout
269,4,12,Pilocarpine,2,mid,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,mid,2.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM F2.3,False,mAChR_Agonist_NonSelective,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4745555520057678,0.1424500197172165,0.04035346955060959,0.1887878179550171,0.1538531631231308,holdout
270,4,12,Pilocarpine,2,mid,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine,mid,2.5 mM,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/2.5mM F2.4,False,mAChR_Agonist_NonSelective,mAChR_Agonist_NonSelective,Pilocarpine ReRun 2 12 Feb 2019,0.41319698095321655,0.03639671206474304,0.03849413990974426,0.0961337611079216,0.41577836871147156,holdout
275,0,0,Control,0,control,Water,mAChR_Agonist_NonSelective,Pilocarpine,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine ReRun 2 12 Feb 2019/Water F2.4,True,Water,Water,Pilocarpine ReRun 2 12 Feb 2019,0.4783698618412018,0.12580342590808868,0.0388668067753315,0.20343932509422302,0.15352050960063934,holdout
277,0,0,Control,0,control,Water,mAChR_Agonist_NonSelective,Pilocarpine,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/Water F1,True,Water,Water,Pilocarpine repeat run 1 12 Feb 2019,0.49016737937927246,0.1375451236963272,0.038437023758888245,0.19464047253131866,0.13920997083187103,holdout
279,0,0,Control,0,control,Water,mAChR_Agonist_NonSelective,Pilocarpine,control,control,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Pilocarpine repeat run 1 12 Feb 2019/Water f2,True,Water,Water,Pilocarpine repeat run 1 12 Feb 2019,0.48509645462036133,0.12306874245405197,0.039857760071754456,0.20287929475307465,0.1490977257490158,holdout
